x_screen,y_screen,blink_detected
901,377,False
903,372,False
898,371,False
893,368,False
886,364,False
897,364,False
884,360,False
856,359,False
829,356,False
802,353,False
764,348,False
722,346,False
677,343,False
632,338,False
585,331,False
560,334,False
551,336,False
541,335,False
531,340,False
523,339,False
520,333,False
520,328,False
517,326,False
516,322,False
516,319,False
517,315,False
511,317,False
509,317,False
503,320,False
492,319,False
488,323,False
479,323,False
471,325,False
464,323,False
463,324,False
460,322,False
458,321,False
455,322,False
452,329,False
445,330,False
440,334,False
442,335,False
451,339,False
457,338,False
470,338,False
475,334,False
487,333,False
501,330,False
514,328,False
529,324,False
560,325,False
587,325,False
613,324,False
639,323,False
671,321,False
699,322,False
725,323,False
754,323,False
785,325,False
794,328,False
805,329,False
828,411,True
842,507,True
864,605,True
869,672,True
879,724,False
886,763,False
891,784,False
901,803,False
901,820,False
885,764,False
880,689,False
870,611,False
875,559,False
876,528,False
875,510,False
877,503,False
880,500,False
886,504,False
891,499,False
900,501,False
902,501,False
903,504,False
906,500,False
915,503,False
915,505,False
913,503,False
911,497,False
931,557,True
940,601,True
954,636,False
953,655,False
960,667,False
967,675,False
979,680,False
985,684,False
995,691,False
982,636,False
978,597,False
974,571,False
984,551,False
988,546,False
980,542,False
979,543,False
977,550,False
972,555,False
971,559,False
970,549,False
968,536,False
966,524,False
964,510,False
966,492,False
964,471,False
964,452,False
966,432,False
965,413,False
966,404,False
966,402,False
969,406,False
969,404,False
974,406,False
979,420,False
983,421,False
986,426,False
986,427,False
982,431,False
979,436,False
970,437,False
966,440,False
961,445,False
952,441,False
943,444,False
930,445,False
921,447,False
913,445,False
906,446,False
904,449,False
899,450,False
892,449,False
887,448,False
884,442,False
885,439,False
887,439,False
889,441,False
892,436,False
891,436,False
891,437,False
891,436,False
888,440,False
889,446,False
887,453,False
884,457,False
879,460,False
873,464,False
868,466,False
864,467,False
860,469,False
862,467,False
858,467,False
858,463,False
855,452,False
855,442,False
854,431,False
854,421,False
858,404,False
861,386,False
863,366,False
867,351,False
870,333,False
876,323,False
884,312,False
890,306,False
898,296,False
901,292,False
902,289,False
906,289,False
909,286,False
909,288,False
911,289,False
910,291,False
909,291,False
913,291,False
909,287,False
906,289,False
891,291,False
878,290,False
866,287,False
857,282,False
845,280,False
835,274,False
821,274,False
810,277,False
806,279,False
805,280,False
804,278,False
807,277,False
807,282,False
805,287,False
803,287,False
797,288,False
798,286,False
794,282,False
796,282,False
792,286,False
789,287,False
783,285,False
781,283,False
778,283,False
780,283,False
776,286,False
774,287,False
773,286,False
775,286,False
771,287,False
774,286,False
776,283,False
778,286,False
775,287,False
779,289,False
779,292,False
782,291,False
786,292,False
790,294,False
795,297,False
799,299,False
805,299,False
813,302,False
819,300,False
828,300,False
832,299,False
855,310,False
879,323,False
900,338,False
921,354,False
944,367,False
961,373,False
977,382,False
993,394,False
1007,408,False
1007,407,False
1005,403,False
998,397,False
996,393,False
986,391,False
986,396,False
984,399,False
981,399,False
981,400,False
979,396,False
980,400,False
981,404,False
977,403,False
980,403,False
977,400,False
973,402,False
965,405,False
961,410,False
952,416,False
946,414,False
939,415,False
935,419,False
932,426,False
927,431,False
927,432,False
932,434,False
928,431,False
927,432,False
927,432,False
927,432,False
929,434,False
929,429,False
927,429,False
925,428,False
926,431,False
929,431,False
934,434,False
934,437,False
936,442,False
938,442,False
934,445,False
935,448,False
933,450,False
928,447,False
922,445,False
914,439,False
893,439,False
878,434,False
861,432,False
846,431,False
831,422,False
815,419,False
799,422,False
783,424,False
769,428,False
766,428,False
755,428,False
748,427,False
736,427,False
727,431,False
722,434,False
719,429,False
716,430,False
713,428,False
712,427,False
714,429,False
717,433,False
723,437,False
724,439,False
724,438,False
720,440,False
718,441,False
717,446,False
714,453,False
716,452,False
715,455,False
715,455,False
721,454,False
725,455,False
733,456,False
734,457,False
739,455,False
744,447,False
742,445,False
737,446,False
730,454,False
723,468,False
715,479,False
708,493,False
707,505,False
704,516,False
700,529,False
700,544,False
704,552,False
715,555,False
718,553,False
722,552,False
726,549,False
728,549,False
725,550,False
729,549,False
731,551,False
732,551,False
730,550,False
731,555,False
729,563,False
723,566,False
721,571,False
722,578,False
715,584,False
708,586,False
696,594,False
688,599,False
683,601,False
675,601,False
667,605,False
656,605,False
650,600,False
644,607,False
633,609,False
630,609,False
619,610,False
606,612,False
600,615,False
591,621,False
589,620,False
577,627,False
568,625,False
568,632,False
563,635,False
566,641,False
564,641,False
562,639,False
566,638,False
560,640,False
564,641,False
563,644,False
560,638,False
561,636,False
552,636,False
551,636,False
549,642,False
546,643,False
548,643,False
545,643,False
544,637,False
542,641,False
535,643,False
530,644,False
521,646,False
519,643,False
511,639,False
505,638,False
485,631,False
465,622,False
447,606,False
433,591,False
418,573,False
407,558,False
390,541,False
380,523,False
367,512,False
367,501,False
374,496,False
380,496,False
389,494,False
398,491,False
408,484,False
413,483,False
417,481,False
421,473,False
426,473,False
429,467,False
430,461,False
425,456,False
427,453,False
413,455,False
410,455,False
400,455,False
392,456,False
376,455,False
369,457,False
363,459,False
347,461,False
331,461,False
330,464,False
325,465,False
324,469,False
322,474,False
324,473,False
318,475,False
305,478,False
307,481,False
308,482,False
306,478,False
305,483,False
305,483,False
305,484,False
305,486,False
306,490,False
311,490,False
313,493,False
314,493,False
313,498,False
307,494,False
304,497,False
302,495,False
299,495,False
295,492,False
299,489,False
299,486,False
298,490,False
304,485,False
310,484,False
309,479,False
304,482,False
307,480,False
310,482,False
302,487,False
298,485,False
292,478,False
285,480,False
289,477,False
290,475,False
291,472,False
290,473,False
294,469,False
302,461,False
303,459,False
309,462,False
311,459,False
309,462,False
313,464,False
324,461,False
328,462,False
331,462,False
337,465,False
346,468,False
356,468,False
359,467,False
359,463,False
359,462,False
358,463,False
364,457,False
361,456,False
353,451,False
348,449,False
340,445,False
342,441,False
342,436,False
345,431,False
346,427,False
342,426,False
344,422,False
348,420,False
345,419,False
345,417,False
343,415,False
343,415,False
341,412,False
344,410,False
344,407,False
347,404,False
349,403,False
371,392,False
395,382,False
420,373,False
443,360,False
468,356,False
486,346,False
507,338,False
526,325,False
545,318,False
565,315,False
580,317,False
591,321,False
608,326,False
620,329,False
637,332,False
652,336,False
679,343,False
727,349,False
779,357,False
827,358,False
879,364,False
925,369,False
977,369,False
1024,373,False
1079,373,False
1122,379,False
1142,381,False
1147,380,False
1155,382,False
1159,383,False
1151,382,False
1131,382,False
1113,382,False
1089,383,False
1067,381,False
1043,379,False
1014,380,False
982,380,False
955,378,False
936,378,False
924,382,False
909,384,False
890,385,False
871,383,False
856,381,False
844,378,False
834,378,False
811,380,False
797,385,False
791,390,False
780,400,False
777,417,False
769,434,False
762,452,False
754,471,False
750,489,False
753,502,False
759,498,False
762,493,False
769,482,False
780,467,False
789,451,False
799,432,False
808,414,False
820,397,False
827,385,False
824,386,False
820,392,False
822,400,False
816,406,False
808,412,False
806,417,False
802,409,False
793,398,False
795,383,False
797,369,False
800,349,False
807,374,False
811,426,True
825,494,True
826,549,True
841,606,False
852,655,False
855,683,False
853,709,False
857,732,False
854,712,False
855,666,False
850,606,False
849,558,False
839,522,False
834,498,False
833,493,False
838,495,False
836,491,False
839,483,False
842,476,False
839,467,False
845,465,False
847,459,False
849,447,False
852,439,False
858,426,False
864,425,False
868,443,False
870,457,False
880,475,False
888,494,False
896,517,False
904,538,False
908,557,False
920,646,True
943,731,True
953,785,True
961,816,True
948,828,False
946,821,False
942,803,False
942,790,False
942,768,False
936,684,False
918,611,False
910,553,False
904,517,False
911,499,False
908,499,False
905,509,False
905,523,False
910,541,False
915,554,False
922,555,False
936,540,False
952,526,False
971,505,False
989,481,False
1005,458,False
1013,436,False
1023,422,False
1037,406,False
1050,392,False
1065,402,False
1077,419,False
1087,445,False
1068,492,False
1031,548,False
989,596,False
943,637,False
886,666,False
817,695,False
741,712,False
663,724,False
587,739,False
541,730,False
523,710,False
529,683,False
550,643,False
587,608,False
639,571,False
692,537,False
744,490,False
799,435,False
854,377,False
905,320,False
941,273,False
969,239,False
992,206,False
1010,169,False
1037,136,False
1072,118,False
1123,106,False
1183,102,False
1236,96,False
1284,98,False
1326,101,False
1358,113,False
1388,130,False
1413,148,False
1440,171,False
1463,196,False
1490,226,False
1529,257,False
1584,299,False
1644,345,False
1709,393,False
1768,443,False
1800,487,False
1800,518,False
1800,535,False
1800,543,False
1800,543,False
1800,526,False
1800,501,False
1762,472,False
1712,442,False
1659,433,False
1610,437,False
1559,454,False
1514,484,False
1466,523,False
1410,571,False
1361,624,False
1313,672,False
1281,716,False
1253,736,False
1224,752,False
1199,763,False
1173,762,False
1154,755,False
1140,744,False
1128,728,False
1122,719,False
1107,707,False
1102,696,False
1098,681,False
1092,664,False
1087,652,False
1078,635,False
1073,614,False
1058,591,False
1035,552,False
1013,514,False
982,477,False
953,435,False
923,390,False
892,338,False
865,292,False
835,252,False
814,224,False
797,215,False
785,210,False
779,213,False
779,225,False
780,237,False
787,251,False
796,265,False
811,279,False
823,292,False
840,298,False
856,302,False
872,301,False
882,298,False
892,305,False
899,312,False
